Comic_Name,Issue_Title,Date_Of_Publication,Issue_Description,Writer,Price,Character_Name,Character_Alignment,Character_Gender,Character_Race
Absolute Carnage: Symbiote Spider-Man (2019),Absolute Carnage: Symbiote Spider-Man (2019) #1,"September 04, 2019","AN UNTOLD TALE OF A SYMBIOTIC HOST FROM YESTERYEAR - During its first visit to New York City, the alien symbiote that would come to be known as Venom bonded to a host that wasn’t Spider-Man or Eddie Brock. Face front, True Believers, as this mysterious man meets his destiny - at the hands of CARNAGE!",Peter David, $4.99,Spider-Man,good,Male,Human
Actor Presents Spider-Man and the Incredible Hulk (2003),Actor Presents Spider-Man and the Incredible Hulk (2003) #1,"December 31, 2003","Marvel Comics and A.C.T.O.R. team up to bring you two stories about Marvel's most popular characters in this special one-shot benefit book for the holiday season. Proceeds from this book benefit A.C.T.O.R., the charitable organization dedicated to providing financial assistance to disadvantaged comic book creators. 32 PGS./MARVEL PSR...$2.50",Troy Hickman, $2.50,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #12,"March 01, 1997","When Doc Ock and Venom team up, Spider-Man must swing into action before MJ pays the price! Concluding the series based on the hit animated show!",Glenn Greenberg, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #11,"February 01, 1997",Eddie Brock… reunited with the Venom symbiote! And Doctor Octopus is to blame!,Glenn Greenberg, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #10,"January 01, 1997","With his privacy at risk, Spidey races against the clock to stop a surveillance mission by the Tinkerer and the Beetle that threatens to expose all super hero identities!",Nel Yomtov, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #9,"December 01, 1996","Featuring the Master of Illusion, Mysterio! While on a trip in Arizona, Peter discovers that weird events reported by locals stem from a sinister Spidey foe…",Nel Yomtov, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #8,"November 01, 1996","Spider-Man attempts to rescue the kidnapped MJ from Kingpin's clutches, but the crime lord seems unshakeable. Thankfully, Peter discovers Kingpin's singular vulnerability… his wife, Vanessa.",Nel Yomtov, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #7,"October 01, 1996",The Kingpin comes for Peter Parker… through Mary Jane! Peter may regret speaking his mind to Wilson Fisk after his girlfriend becomes Kingpin's hostage!,Nel Yomtov, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #6,"September 01, 1996",Spider-Man faces off with the Puppet Master as a gallery show goes awry!,Michael Higgins, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #5,"August 01, 1996",Spidey must rescue an astronaut from Rhino’s rage!,Nel Yomtov, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #4,"July 01, 1996",Vulture hatches a plan to defeat Spider-Man!,Nel Yomtov, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #3,"June 01, 1996",Spider-Man has been captured! Mr. Sinister does his best to make sure the Wall-Crawler is destroyed!,Nel Yomtov, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #2,"May 01, 1996",Spidey must stop Hammerhead when he threatens the Daily Bugle!,Nel Yomtov, Free,Spider-Man,good,Male,Human
Adventures of Spider-Man (1996 - 1997),Adventures of Spider-Man (1996) #1,"April 01, 1996",Spider-Man disagrees with the way the Punisher fights and tries to stop him!,Nel Yomtov, Free,Spider-Man,good,Male,Human
Amazing Fantasy 15: Spider-Man! (2011 - 2012),Amazing Fantasy 15: Spider-Man! (2011) #1,"June 27, 2012","Relive the adventures that started it all! A radioactive spider may have granted bookish young Peter Parker incredible abilities, but it was his uncle's death that truly transformed him. Can the newly minted Spider-Man defeat the menace of the Chameleon - and face the Fantastic Four? Thrill to Spidey's debut issues, completely remastered and beautifully recolored in modern style by Jean-Francois Beaulieu (WONDERFUL WIZARD OF OZ)! Collecting material from AMAZING FANTASY (1962) #15 and AMAZING SPIDER-MAN (1963) #1.",Stan Lee, $3.99,Spider-Man,good,Male,Human
Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016),Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #4,"June 29, 2016",Spidey and Silk's time jaunt takes them all the way to their beginning...the science fair where they were bitten by the radioactive spider! Plus: Chronosaurus Rex revealed!,Robbie Thompson, $4.99,Spider-Man,good,Male,Human
Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016),Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #3,"May 04, 2016",Spidey and Silk’s time jaunt takes them all the way to their beginning...the science fair where they were bitten by the radioactive spider! Plus: Chronosaurus Rex revealed!,Robbie Thompson, $4.99,Spider-Man,good,Male,Human
Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016),Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #2,"April 13, 2016","Spider-Man & Silk have gone back in time...and accidentally stopped their own origins from happening! Thankfully, a friendly Forest Hills local is there to help out...A nice man named BEN.",Robbie Thompson, $4.99,Spider-Man,good,Male,Human
